As of 9/30/2024
"The following data was downloaded from rbcgam.com is current as of the date indicated therein."
"The use of data downloaded is the responsibility of the user."
"Neither RBC Global Asset Management Inc. nor its affiliates shall be responsible for any inaccuracy resulting from such use."
"The data is not intended to provide specific financial, investment, tax, legal or accounting advice for you, and should not be relied upon in that regard."
"You should not act or rely on the data without seeking the advice of a professional."
"Holding","Value (%)"
"SoFi Technologies Inc 1.250% Mar 15, 2029","0.15"
"LVMH Moet Hennessy Louis Vuitton SE Call@640 Dec 20 2024","0.13"
"STMicroelectronics NV Call@28 Dec 20 2024","0.06"
"Deutsche Telekom AG Call@22.5 Dec 20 2024","0.06"
"Iberdrola SA Call@12.5 Dec 20 2024","0.05"
"BNP Paribas SA Call@60 Dec 20 2024","0.04"
"Veolia Environnement SA Call@30 Dec 20 2024","0.03"
"Deutsche Post AG Call@42 Dec 20 2024","0.02"
"L'Oreal SA Call@420 Dec 20 2024","0.01"
"STMicroelectronics NV Call@34 Dec 20 2024","0.01"
"LVMH Moet Hennessy Louis Vuitton SE Call@840 Dec 20 2024","0"
"L'Oreal SA Call@460 Dec 20 2024","0"
"STMicroelectronics NV Call@40 Dec 20 2024","0"
"E-Mini Russ 2000, Dec 2024","-1"
"NIKKEI 225  (OSE), Dec 2024","-2.09"
"The S&P 500 Mini Index Future, Dec 2024","-2.3"
